ChoukaiSan
SpineRoot 5.092984 0 2.647069 -0.09142083 359.2993 273.4218 0.6687419
Spine2 5.092984 0.006385261 2.998096 -0.08827633 359.0749 274.7262 267.2173
HeadRoot 5.092984 0.03189358 3.980377 0.02774227 290.6071 14.05034 350.3695
Head 5.092984 0.05639407 4.26542 0.1144278 20.12913 3.786817 266.4046
LShoulder 5.092984 -0.1351666 3.970552 -0.003305271 305.0111 275.0623 85.96752
LArmRoot 5.092984 -1.056795 3.327331 -0.001007561 344.7343 271.5924 93.57278
LForearm 5.092984 -1.334587 2.320952 0.04397536 353.3747 272.5976 98.44386
LHand 5.092984 -1.43158 1.433224 0.1811807 348.6191 4.031302 80.72644
LHandEff 5.092984 -1.522016 0.8382321 0.3076161 348.6191 4.031302 80.72644
RShoulder 5.092984 0.1911853 3.965264 -0.03028641 305.3402 93.98403 93.54869
RArmRoot 5.092984 1.099179 3.316415 -0.1632594 10.37184 277.4104 183.7885
RForearm 5.092984 1.294924 2.290055 -0.1471937 357.7022 96.50719 82.13463
RHand 5.092984 1.344587 1.395784 -0.02841807 341.2245 3.25308 113.3462
RHandEff 5.092984 1.598208 0.8612139 0.1391876 341.2245 3.25308 113.3462
Spine1 5.092984 0 2.647069 -0.09142083 359.0038 274.7387 269.4025
LLegRoot 5.092984 -1.142149 2.30585 0.07686006 8.718008 2.706845 352.3993
LShin 5.092984 -1.292247 1.199156 -0.07063162 5.203112 3.140137 82.46219
LRootFoot 5.092984 -1.39243 0.4714058 -0.1315054 355.2822 257.7766 7.087736
LToe 5.092984 -1.37307 0.3136843 0.2127675 354.8176 275.5962 164.1321
RLegRoot 5.092984 1.145391 2.277823 -0.05991745 7.533794 3.447844 1.211022
RShin 5.092984 1.15511 1.159282 -0.1934303 355.7142 183.4492 89.23012
RRootFoot 5.092984 1.161683 0.4242785 -0.2490087 357.981 111.3078 3.786026
RToe 5.092984 1.181233 0.2665181 0.09523559 359.4344 273.5092 164.232
SpineRoot 5.151792 0 2.647069 -0.09142083 359.3024 273.4106 0.6732175
Spine2 5.151792 0.006370781 2.998096 -0.08829856 359.0738 274.7217 267.2203
HeadRoot 5.151792 0.03188417 3.980383 0.02766897 290.6101 13.99014 350.4261
Head 5.151792 0.05628114 4.265423 0.1143957 20.13554 3.786549 266.4249
LShoulder 5.151792 -0.1351738 3.970559 -0.003391053 305.0103 275.0493 85.96885
LArmRoot 5.151792 -1.056812 3.32735 -0.001275258 344.7394 271.5824 93.57941
LForearm 5.151792 -1.334518 2.320951 0.04377753 353.3756 272.5872 98.43897
LHand 5.151792 -1.431526 1.433209 0.1808887 348.627 4.01937 80.73503
LHandEff 5.151792 -1.521903 0.838187 0.3072206 348.627 4.01937 80.73503
RShoulder 5.151792 0.1911802 3.965264 -0.0303465 305.3495 93.98673 93.54659
RArmRoot 5.151792 1.099068 3.316267 -0.1633138 10.38197 277.4108 183.7884
RForearm 5.151792 1.294992 2.289941 -0.1472743 357.7064 96.50591 82.13367
RHand 5.151792 1.34459 1.395669 -0.02847504 341.2026 3.234819 113.4483
RHandEff 5.151792 1.599166 0.8615811 0.1392183 341.2026 3.234819 113.4483
Spine1 5.151792 0 2.647069 -0.09142083 359.0059 274.7336 269.4064
LLegRoot 5.151792 -1.142162 2.305796 0.07666435 8.711291 2.695995 352.3984
LShin 5.151792 -1.292244 1.199086 -0.07072506 5.198539 3.128872 82.46334
LRootFoot 5.151792 -1.392396 0.4713289 -0.1315616 355.2857 257.7697 7.087056
LToe 5.151792 -1.373069 0.3136088 0.212714 354.8211 275.5892 164.1325
RLegRoot 5.151792 1.145406 2.277893 -0.05966797 7.526822 3.436947 1.211588
RShin 5.151792 1.155171 1.159336 -0.1930438 355.7187 183.4385 89.23077
RRootFoot 5.151792 1.161749 0.4243275 -0.2485628 357.9786 111.3032 3.785321
RToe 5.151792 1.181278 0.2665669 0.09568257 359.4369 273.5046 164.2319
SpineRoot 5.199975 0 2.647069 -0.09142083 359.3053 273.3991 0.6776552
Spine2 5.199975 0.006356432 2.998097 -0.08832224 359.0735 274.7176 267.2238
HeadRoot 5.199975 0.03186217 3.980391 0.02758695 290.6121 13.92595 350.4872
Head 5.199975 0.05614718 4.265428 0.1143523 20.14132 3.787168 266.4471
LShoulder 5.199975 -0.1351936 3.970564 -0.003484357 305.0089 275.0352 85.97022
LArmRoot 5.199975 -1.056846 3.327376 -0.001567458 344.7463 271.572 93.58817
LForearm 5.199975 -1.334433 2.320949 0.04359083 353.3727 272.5757 98.43069
LHand 5.199975 -1.431522 1.433194 0.1805556 348.6182 4.008185 80.75931
LHandEff 5.199975 -1.52166 0.8381481 0.3069515 348.6182 4.008185 80.75931
RShoulder 5.199975 0.1911623 3.965269 -0.03041625 305.3603 93.99032 93.54361
RArmRoot 5.199975 1.098927 3.316097 -0.1633741 10.39379 277.411 183.7892
RForearm 5.199975 1.295063 2.289811 -0.1473484 357.7088 96.50433 82.13126
RHand 5.199975 1.344625 1.395543 -0.02850622 341.1909 3.21931 113.5433
RHandEff 5.199975 1.600087 0.8618765 0.1391814 341.1909 3.21931 113.5433
Spine1 5.199975 0 2.647069 -0.09142083 359.0078 274.7291 269.4106
LLegRoot 5.199975 -1.142177 2.305745 0.07646159 8.704307 2.684749 352.3969
LShin 5.199975 -1.292253 1.19902 -0.07082045 5.193879 3.11719 82.46429
LRootFoot 5.199975 -1.392378 0.4712558 -0.1316191 355.2892 257.7629 7.086335
LToe 5.199975 -1.373082 0.3135373 0.2126589 354.8247 275.5823 164.1329
RLegRoot 5.199975 1.14542 2.277959 -0.05941179 7.519782 3.425693 1.212135
RShin 5.199975 1.15523 1.159385 -0.1926491 355.7231 183.4273 89.2314
RRootFoot 5.199975 1.161814 0.4243729 -0.2481099 357.9762 111.2984 3.784518
RToe 5.199975 1.181321 0.2666122 0.09613679 359.4395 273.4997 164.2319
SpineRoot 5.253152 0 2.647069 -0.09142083 359.3092 273.3858 0.6821612
Spine2 5.253152 0.006342469 2.998097 -0.08834568 359.0738 274.7141 267.2273
HeadRoot 5.253152 0.0318306 3.980398 0.02750481 290.6148 13.84905 350.562
Head 5.253152 0.05598119 4.265433 0.1143178 20.14868 3.789654 266.4742
LShoulder 5.253152 -0.1352232 3.970569 -0.003575748 305.0063 275.0194 85.96952
LArmRoot 5.253152 -1.056906 3.327423 -0.001924317 344.7558 271.5602 93.60059
LForearm 5.253152 -1.334328 2.320958 0.04339851 353.3665 272.5623 98.42013
LHand 5.253152 -1.431555 1.433189 0.1801803 348.5991 3.996027 80.80006
LHandEff 5.253152 -1.521274 0.8381147 0.3067383 348.5991 3.996027 80.80006
RShoulder 5.253152 0.1911343 3.965275 -0.03048807 305.372 93.99484 93.54077
RArmRoot 5.253152 1.098763 3.315914 -0.1634529 10.40709 277.4118 183.7905
RForearm 5.253152 1.295138 2.289674 -0.1474371 357.7108 96.50317 82.12881
RHand 5.253152 1.34467 1.395409 -0.02855222 341.1796 3.202499 113.6513
RHandEff 5.253152 1.601141 0.8622186 0.1391073 341.1796 3.202499 113.6513
Spine1 5.253152 0 2.647069 -0.09142083 359.0097 274.7254 269.4146
LLegRoot 5.253152 -1.142191 2.305675 0.07622209 8.696921 2.671637 352.3944
LShin 5.253152 -1.292275 1.198937 -0.07094867 5.189122 3.103612 82.46494
LRootFoot 5.253152 -1.392373 0.4711655 -0.1317113 355.2932 257.7556 7.08555
LToe 5.253152 -1.37311 0.3134494 0.2125695 354.8287 275.5749 164.1334
RLegRoot 5.253152 1.145439 2.278043 -0.05911864 7.512408 3.412595 1.212321
RShin 5.253152 1.155291 1.159453 -0.1922102 355.7275 183.4144 89.23215
