Kaho
SpineRoot 5.089068 0 3.695743 0.02287035 358.5148 269.411 0.1151996
Spine2 5.089068 0.001577943 4.046796 0.0283664 0.8796588 268.6251 264.6062
HeadRoot 5.089068 -0.02414542 5.440999 0.2079478 278.3106 5.850976 352.7838
Head 5.089068 -0.01885946 5.771115 0.2394786 8.004788 358.5635 268.9495
LShoulder 5.089068 -0.1862179 5.428738 0.1429673 301.7112 263.9611 83.89367
LArmRoot 5.089068 -0.7295288 5.086611 0.01546937 346.0622 262.6711 91.08178
LForearm 5.089068 -0.9473684 4.104354 -0.03974631 354.1924 263.8921 104.4442
LHand 5.089068 -1.134329 2.651462 0.3185604 357.5359 354.4907 85.3897
LHandEff 5.089068 -1.179592 2.115622 0.3373609 357.5359 354.4907 85.3897
RShoulder 5.089068 0.1411572 5.433766 0.1508251 304.0918 93.26443 94.54565
RArmRoot 5.089068 0.677717 5.068007 0.06825874 14.42432 274.7927 178.4935
RForearm 5.089068 0.9017342 4.089854 -0.02320396 359.5071 93.13818 77.35527
RHand 5.089068 0.932446 2.618428 0.3057294 356.2146 3.121566 93.24104
RHandEff 5.089068 0.9647529 2.082384 0.339487 356.2146 3.121566 93.24104
Spine1 5.089068 0 3.695743 0.02287035 359.724 268.8154 269.1086
LLegRoot 5.089068 -0.3088264 3.347399 0.1160745 313.2169 14.50931 330.3319
LShin 5.089068 -0.7997764 2.573063 1.168298 349.7337 352.9956 69.35726
LRootFoot 5.089068 -1.387951 1.110256 1.362974 348.4713 241.8463 6.435643
LToe 5.089068 -1.391394 0.9215753 1.769552 349.0938 274.6448 165.0614
RLegRoot 5.089068 0.2883814 3.331914 0.1222141 4.275527 359.5265 359.175
RShin 5.089068 0.3252715 1.937841 0.06743906 349.039 180.4792 76.6382
RRootFoot 5.089068 0.6899255 0.4204401 -0.2295035 340.7601 121.063 0.5129761
RToe 5.089068 0.7023836 0.2313063 0.1766881 7.649764 268.1729 165.248
SpineRoot 5.131663 0 3.695743 0.02287035 358.5133 269.4543 0.1281645
Spine2 5.131663 0.001640985 4.046799 0.02818621 0.8714377 268.688 264.6487
HeadRoot 5.131663 -0.02366323 5.441137 0.2067682 278.3002 6.249793 352.4455
Head 5.131663 -0.01806835 5.771257 0.2382035 7.988114 358.6209 268.9019
LShoulder 5.131663 -0.1858083 5.428855 0.1419732 301.7329 263.9439 83.97306
LArmRoot 5.131663 -0.7291278 5.086467 0.01521453 346.0552 262.6936 91.08224
LForearm 5.131663 -0.9471087 4.104237 -0.03992278 354.6761 263.9699 104.053
LHand 5.131663 -1.120566 2.647625 0.3099764 356.9516 354.5522 85.69109
LHandEff 5.131663 -1.16352 2.111829 0.3345431 356.9516 354.5522 85.69109
RShoulder 5.131663 0.141576 5.433836 0.1494709 304.16 93.37685 94.44875
RArmRoot 5.131663 0.6776743 5.067385 0.06697509 14.42487 274.8189 178.5918
RForearm 5.131663 0.9018344 4.089115 -0.02287615 359.2454 93.17175 77.23509
RHand 5.131663 0.9396118 2.618457 0.3087487 356.472 3.050932 92.16225
RHandEff 5.131663 0.961645 2.081783 0.3407083 356.472 3.050932 92.16225
Spine1 5.131663 0 3.695743 0.02287035 359.7152 268.8778 269.1379
LLegRoot 5.131663 -0.3087654 3.347429 0.1163885 313.2307 14.57746 330.2576
