ChoukaiSan
SpineRoot 111.7026 4.411781 32.90739 353.2113 273.698 5.681915
Spine2 111.7705 4.992703 32.88882 352.4568 268.4984 266.1346
HeadRoot 111.9789 6.611917 33.12147 279.6916 325.0628 33.50288
Head 111.9314 7.106116 33.16328 7.895304 358.9292 275.3829
LShoulder 111.7078 6.628539 33.03945 282.6183 270.363 80.5611
LArmRoot 109.9027 6.22488 32.74369 331.1972 79.7596 280.2399
LForearm 109.0456 7.736741 32.85683 331.2759 79.75391 274.5456
LHand 108.3144 9.053106 32.84595 0.5541223 349.9948 298.4534
LHandEff 107.832 9.954195 32.76969 0.5541223 349.9948 298.4534
RShoulder 112.2488 6.556883 33.05363 295.2795 88.0535 99.76133
RArmRoot 113.9278 5.768562 32.79293 29.41604 89.90797 17.03168
RForearm 114.7454 7.233834 33.25972 15.83603 249.433 238.0057
RHand 114.1388 8.46245 33.88427 25.83143 347.4015 288.0906
RHandEff 113.7356 9.339373 34.22915 25.83143 347.4015 288.0906
Spine1 111.7026 4.411781 32.90739 353.3928 268.3452 272.0102
LLegRoot 109.7563 4.066276 33.2511 348.0125 5.128836 352.6516
LShin 109.5639 2.24892 33.68164 1.8213 3.309211 85.20341
LRootFoot 109.4591 1.025289 33.64873 359.0512 259.2935 7.643878
LToe 109.5229 0.7784352 34.22698 358.2371 277.0386 165.815
RLegRoot 113.5413 3.614761 33.00647 2.619935 3.772098 358.2038
RShin 113.4685 1.739468 32.95054 356.404 184.0205 97.66437
RRootFoot 113.2997 0.5242884 32.88585 4.567088 116.535 4.458371
RToe 113.3567 0.2771474 33.46468 352.959 278.6296 165.6131
SpineRoot 111.7026 4.411781 32.90739 353.2435 273.7747 5.644957
Spine2 111.7701 4.992762 32.88939 352.4827 268.6563 266.0833
HeadRoot 111.9784 6.61187 33.12291 279.7969 325.3782 33.33502
Head 111.9307 7.105963 33.16573 7.99865 359.084 275.4182
LShoulder 111.7071 6.628436 33.04162 282.8349 270.7903 80.40928
LArmRoot 109.9021 6.218143 32.7544 331.2631 79.94521 280.2707
LForearm 109.0469 7.730826 32.87155 331.4503 79.95634 274.4406
LHand 108.3201 9.04957 32.86122 0.5805367 350.2099 298.4367
LHandEff 107.8376 9.950797 32.78723 0.5805367 350.2099 298.4367
RShoulder 112.2481 6.557025 33.05431 295.0023 88.15875 100.0727
RArmRoot 113.9292 5.777531 32.78057 29.30568 90.50819 17.10963
RForearm 114.7485 7.243823 33.24109 16.17245 249.9119 238.0053
RHand 114.1404 8.470366 33.86822 25.70221 348.0062 288.7386
RHandEff 113.7309 9.344946 34.21156 25.70221 348.0062 288.7386
Spine1 111.7026 4.411781 32.90739 353.4211 268.5016 271.9352
LLegRoot 109.7569 4.065032 33.25332 353.102 4.589904 353.703
LShin 109.5816 2.214446 33.51744 3.053407 3.380501 85.59374
LRootFoot 109.4836 0.991264 33.45788 359.4766 259.4469 7.47271
LToe 109.5508 0.744018 34.03557 358.6943 277.1907 165.7816
RLegRoot 113.5418 3.61565 33.0036 2.638371 3.84101 358.1616
RShin 113.4675 1.740428 32.94726 356.4797 184.0945 97.6789
RRootFoot 113.2985 0.5251911 32.88441 4.572982 116.6029 4.487549
RToe 113.356 0.2777949 33.46308 352.9445 278.6984 165.5871
SpineRoot 111.7026 4.411781 32.90739 353.2884 273.8442 5.619637
Spine2 111.7699 4.99281 32.88995 352.509 268.8086 266.041
HeadRoot 111.9779 6.611848 33.12411 279.9061 325.2476 33.6143
Head 111.9295 7.105809 33.16759 8.062699 359.2427 275.5197
LShoulder 111.7064 6.628343 33.04353 283.0275 271.2108 80.30704
LArmRoot 109.9013 6.212126 32.76623 331.4194 80.17245 280.2752
LForearm 109.0506 7.727028 32.88761 331.6958 80.19693 274.2892
LHand 108.3299 9.049101 32.87736 0.5837885 350.4501 298.376
LHandEff 107.848 9.950844 32.80561 0.5837885 350.4501 298.376
RShoulder 112.2475 6.557181 33.05478 294.7415 88.28152 100.372
RArmRoot 113.9303 5.786026 32.76787 29.34058 91.08112 17.19481
RForearm 114.7547 7.251214 33.22265 16.59451 250.3083 238.1057
RHand 114.1429 8.476441 33.84869 25.48573 348.538 289.5262
RHandEff 113.7245 9.348436 34.18798 25.48573 348.538 289.5262
Spine1 111.7026 4.411781 32.90739 353.4408 268.6541 271.8622
LLegRoot 109.7576 4.063398 33.25541 355.0094 4.45219 354.1125
LShin 109.5902 2.204194 33.45664 8.183164 3.121957 87.67658
LRootFoot 109.531 0.989151 33.28489 347.7521 253.507 339.9662
LToe 109.4899 0.4885092 33.66835 355.5994 269.6218 136.2069
RLegRoot 113.5425 3.616988 33.00108 2.814388 3.883863 358.0496
RShin 113.4641 1.742104 32.9393 356.7009 184.1609 97.68701
RRootFoot 113.2952 0.5266104 32.88134 4.565099 116.6731 4.510319
RToe 113.3534 0.2789706 33.45984 352.945 278.7697 165.5629
SpineRoot 111.7026 4.411781 32.90739 353.3582 273.9136 5.607394
Spine2 111.7696 4.992852 32.89043 352.5667 268.958 266.0154
HeadRoot 111.9766 6.612001 33.12474 280.125 324.2305 34.78831
Head 111.9258 7.105661 33.16887 8.127008 359.4235 275.8151
LShoulder 111.7049 6.628255 33.04486 283.3492 271.6221 80.34436
LArmRoot 109.9 6.201897 32.78167 331.6711 80.49165 280.2333
LForearm 109.0567 7.720545 32.90763 332.0616 80.53251 274.0728
LHand 108.345 9.047503 32.89737 0.5534281 350.7666 298.2657
LHandEff 107.8645 9.950187 32.82809 0.5534281 350.7666 298.2657
RShoulder 112.2461 6.557637 33.0547 294.5969 88.44314 100.5948
RArmRoot 113.929 5.79126 32.75591 29.46257 91.61304 17.24464
RForearm 114.7606 7.254351 33.20439 17.56762 250.4321 238.2229
RHand 114.1309 8.47475 33.82217 25.24254 349.0612 291.3778
RHandEff 113.6869 9.338034 34.1509 25.24254 349.0612 291.3778
Spine1 111.7026 4.411781 32.90739 353.4589 268.8094 271.797
LLegRoot 109.7584 4.060959 33.25761 356.2828 4.388105 354.3732
LShin 109.5961 2.197235 33.41682 11.10712 3.124099 89.49147
LRootFoot 109.5723 0.9917431 33.1811 317.2662 246.7343 308.9619
LToe 109.2826 0.431326 33.14439 332.5596 257.8539 101.0938
RLegRoot 113.5436 3.619172 32.99866 3.471279 3.849078 357.529
RShin 113.4468 1.745927 32.91658 357.4689 184.2013 97.45997
RRootFoot 113.2838 0.5289621 32.87461 4.333151 116.6821 4.44694
RToe 113.3432 0.2810832 33.45289 353.1851 278.785 165.5516
SpineRoot 111.7026 4.411781 32.90739 353.4764 273.9811 5.613038
Spine2 111.7693 4.992902 32.89075 352.674 269.0817 266.0008
HeadRoot 111.9737 6.612386 33.12498 280.4325 322.8071 36.34951
Head 111.9195 7.10561 33.16991 8.21208 359.5945 276.2253
LShoulder 111.7018 6.628147 33.04568 283.7554 271.9945 80.47126
LArmRoot 109.8978 6.188898 32.79823 331.9967 80.85229 280.1702
LForearm 109.064 7.712386 32.92897 332.5478 80.91535 273.8165
LHand 108.3642 9.045678 32.91858 0.4982396 351.1176 298.0986
LHandEff 107.8861 9.949781 32.85181 0.4982396 351.1176 298.0986
RShoulder 112.2432 6.558543 33.05435 294.4948 88.61298 100.7769
RArmRoot 113.9257 5.795609 32.74474 29.60354 92.14691 17.2584
RForearm 114.7649 7.256582 33.18571 349.2432 266.198 254.9692
RHand 115.0099 8.685328 33.59337 8.098253 355.0611 250.357
RHandEff 115.3414 9.640994 33.75851 8.098253 355.0611 250.357
Spine1 111.7026 4.411781 32.90739 353.4891 268.9455 271.7501
LLegRoot 109.7596 4.05693 33.25991 357.536 4.327744 354.6307
LShin 109.6024 2.18969 33.37766 12.27162 3.216752 90.68052
LRootFoot 109.6023 0.9892937 33.11615 305.216 242.4928 305.1117
LToe 109.2336 0.4974827 32.96938 321.2316 253.8711 95.32068
RLegRoot 113.5453 3.622971 32.99644 3.767631 3.85674 357.2014
RShin 113.4372 1.750759 32.90546 357.9093 184.2415 97.20406
RRootFoot 113.2803 0.5327165 32.87251 4.090027 116.6807 4.370612
RToe 113.3408 0.2846852 33.4506 353.4398 278.7895 165.5493
SpineRoot 111.7026 4.411781 32.90739 353.6443 274.1019 5.652183
Spine2 111.7688 4.992961 32.89087 352.8409 269.2299 266.0031
HeadRoot 111.9691 6.613054 33.12444 280.6689 323.0174 36.28581
Head 111.9138 7.105993 33.1712 8.408449 359.7615 276.3589
LShoulder 111.697 6.628016 33.04584 284.088 272.3796 80.6617
LArmRoot 109.8932 6.178109 32.81659 332.3427 81.31844 280.0862
LForearm 109.0698 7.706752 32.95299 333.0782 81.40579 273.561
LHand 108.383 9.046784 32.94378 0.4130046 351.5622 297.866
LHandEff 107.9081 9.952852 32.87994 0.4130046 351.5622 297.866
RShoulder 112.2385 6.559989 33.05312 294.4586 88.84232 100.8668
RArmRoot 113.9198 5.798342 32.73389 29.95085 92.64337 17.2345
RForearm 114.7718 7.254476 33.16647 332.2459 272.0416 260.331
RHand 115.4716 8.568126 33.39459 4.305941 0.01762115 233.6687
RHandEff 116.0789 9.39149 33.4564 4.305941 0.01762115 233.6687
Spine1 111.7026 4.411781 32.90739 353.532 269.1142 271.7184
LLegRoot 109.7614 4.051326 33.26432 358.8402 4.323082 354.9214
LShin 109.6105 2.181351 33.33896 12.334 3.375038 91.34962
LRootFoot 109.6239 0.9814877 33.07535 358.9569 250.9363 1.741349
LToe 109.6108 0.6784443 33.62976 359.9468 268.6683 160.1647
RLegRoot 113.5479 3.628491 32.99278 3.852853 3.943516 356.9655
RShin 113.4317 1.756861 32.89974 358.0708 184.3216 96.8606
RRootFoot 113.2823 0.5377967 32.86985 3.798941 116.6568 4.270562
RToe 113.3439 0.289673 33.44779 353.7476 278.7719 165.5549
SpineRoot 111.7026 4.411781 32.90739 353.8736 274.2924 5.714532
Spine2 111.7682 4.993033 32.89105 353.0208 269.4812 265.9434
HeadRoot 111.9644 6.613518 33.1254 281.2269 320.585 38.99386
Head 111.9029 7.105594 33.17342 8.529691 0.09933698 277.116
LShoulder 111.6919 6.6277 33.04797 284.2736 273.1137 80.56029
LArmRoot 109.8871 6.172123 32.83848 332.6621 81.83239 280.0623
LForearm 109.0735 7.705261 32.98275 333.677 81.9574 273.3899
LHand 108.401 9.052577 32.97765 0.3611327 352.0856 297.5494
LHandEff 107.9307 9.961283 32.91805 0.3611327 352.0856 297.5494
RShoulder 112.2337 6.561374 33.05288 294.4591 88.98168 100.9969
RArmRoot 113.9135 5.800045 32.72536 30.28326 93.11903 17.22261
RForearm 114.7775 7.251418 33.15005 326.5355 274.0414 261.1519
RHand 115.6122 8.492663 33.32327 3.686312 1.817159 228.3017
RHandEff 116.2953 9.256358 33.35083 3.686312 1.817159 228.3017
Spine1 111.7026 4.411781 32.90739 353.5823 269.3867 271.669
LLegRoot 109.7641 4.043716 33.27129 3.11148 4.232492 356.3597
LShin 109.6497 2.170915 33.20296 8.753074 3.762618 90.99107
LRootFoot 109.6586 0.9568531 33.01505 328.4258 245.1972 320.9156
LToe 109.4358 0.3780749 33.13646 341.4316 258.6004 113.7722
RLegRoot 113.5513 3.636071 32.98703 3.846176 4.105106 356.717
RShin 113.4268 1.76492 32.89516 358.1438 184.4549 96.38646
RRootFoot 113.2875 0.5446326 32.86634 3.426349 116.5902 4.141725
RToe 113.3503 0.2964087 33.44411 354.1416 278.7126 165.563
SpineRoot 111.7026 4.411781 32.90739 354.1533 274.5017 5.743094
Spine2 111.7674 4.99313 32.89147 353.1369 269.8389 265.7602
HeadRoot 111.9618 6.613266 33.1298 281.8807 317.2247 42.73617
Head 111.8919 7.104202 33.17817 8.52386 0.5547611 278.1214
LShoulder 111.6888 6.627132 33.05402 284.3279 274.3614 79.90547
LArmRoot 109.8822 6.170757 32.86253 332.7116 82.21188 280.1509
LForearm 109.0706 7.704215 33.01503 334.4118 82.43453 273.3872
LHand 108.4154 9.059972 33.01775 0.4151846 352.5849 297.1691
LHandEff 107.9504 9.971797 32.9639 0.4151846 352.5849 297.1691
RShoulder 112.2307 6.561904 33.05554 294.6173 88.93565 101.3653
RArmRoot 113.9068 5.796932 32.71748 30.67821 93.71056 17.33023
RForearm 114.7848 7.241718 33.13575 322.7858 275.6345 261.1421
RHand 115.7031 8.42662 33.27815 3.728201 2.980951 225.608
RHandEff 116.4216 9.157461 33.28842 3.728201 2.980951 225.608
Spine1 111.7026 4.411781 32.90739 353.6463 269.7519 271.5868
LLegRoot 109.7673 4.034259 33.27851 4.75351 4.343906 356.7277
LShin 109.6607 2.163761 33.15596 7.396259 3.998159 91.35168
LRootFoot 109.6786 0.9457704 32.99622 325.8854 245.0301 317.7834
LToe 109.4404 0.3657624 33.07516 339.5545 257.8463 110.4421
RLegRoot 113.5554 3.645159 32.98027 3.748338 4.281963 356.3763
RShin 113.4197 1.77457 32.89285 358.1625 184.5778 95.68533
RRootFoot 113.2953 0.55269 32.86348 2.873622 116.4287 3.949365
RToe 113.359 0.3043517 33.4411 354.7266 278.5603 165.5762
SpineRoot 111.7026 4.411781 32.90739 354.4195 274.6834 5.695462
Spine2 111.7666 4.993232 32.89202 353.0896 270.2636 265.526
HeadRoot 111.964 6.612228 33.13557 282.2196 315.9239 44.45011
Head 111.8903 7.102547 33.18441 8.517354 1.003944 278.6198
LShoulder 111.6905 6.626624 33.06173 284.2447 275.8279 78.96974
LArmRoot 109.8813 6.174223 32.88615 332.8259 82.44574 280.2382
LForearm 109.0733 7.708886 33.04498 335.0998 82.75362 273.5125
LHand 108.4339 9.072161 33.05668 0.5313575 352.9521 296.8396
LHandEff 107.9736 9.986648 33.00832 0.5313575 352.9521 296.8396
RShoulder 112.2323 6.560949 33.05924 294.8321 88.82429 101.838
RArmRoot 113.9037 5.791028 32.70919 30.58955 94.22412 17.53856
RForearm 114.7828 7.235632 33.12587 321.2743 276.7057 260.5527
RHand 115.7345 8.394462 33.26284 5.015339 2.731729 228.3395
RHandEff 116.4183 9.157259 33.29724 5.015339 2.731729 228.3395
Spine1 111.7026 4.411781 32.90739 353.7129 270.1553 271.4878
LLegRoot 109.7702 4.024984 33.28402 6.047576 4.484389 357.2348
LShin 109.6765 2.157124 33.11828 6.102144 4.224926 91.61234
LRootFoot 109.7014 0.9360168 32.98554 322.6484 243.2754 316.6019
LToe 109.4354 0.3645219 33.03086 336.6104 256.0665 108.6609
RLegRoot 113.5591 3.653542 32.97363 3.893734 4.379476 355.73
RShin 113.4018 1.784774 32.88342 358.5901 184.6344 94.58421
RRootFoot 113.3015 0.5605224 32.86132 1.975933 116.1233 3.61027
RToe 113.3665 0.3123138 33.43885 355.6849 278.2653 165.6234
SpineRoot 111.7026 4.411781 32.90739 354.5322 274.6678 5.495098
Spine2 111.7661 4.993302 32.89256 352.9021 270.7404 265.3012
HeadRoot 111.9707 6.610684 33.14077 285.5113 301.4935 59.56149
Head 111.8564 7.093731 33.18342 7.616295 1.933929 283.4515
LShoulder 111.6967 6.626266 33.06915 283.7646 277.3367 77.80536
LArmRoot 109.8824 6.190636 32.9038 333.4039 82.72788 280.3995
LForearm 109.0903 7.732419 33.07343 335.8685 83.07072 273.7401
LHand 108.4687 9.103717 33.09682 0.6461951 353.3085 296.3179
LHandEff 108.0161 10.02236 33.05416 0.6461951 353.3085 296.3179
RShoulder 112.2383 6.558818 33.06215 295.7165 88.87551 102.126
RArmRoot 113.8957 5.764157 32.70112 30.88515 94.87917 17.65944
RForearm 114.7867 7.203505 33.11066 321.5824 277.2528 259.7905
RHand 115.7339 8.364635 33.25917 6.515647 2.113163 232.9615
RHandEff 116.3543 9.177489 33.32918 6.515647 2.113163 232.9615
Spine1 111.7026 4.411781 32.90739 353.7535 270.59 271.389
LLegRoot 109.7706 4.02038 33.28144 6.698484 4.489176 357.8241
LShin 109.6945 2.153878 33.09296 5.204728 4.267626 91.85997
LRootFoot 109.726 0.9310358 32.97892 320.0963 241.7102 315.7585
LToe 109.4395 0.3680181 32.99669 334.2677 254.5268 107.3327
RLegRoot 113.5603 3.656419 32.97201 3.543589 4.345499 355.2366
RShin 113.3879 1.788421 32.8944 358.5056 184.4943 93.44379
RRootFoot 113.3119 0.5625043 32.8683 1.015211 115.685 3.26849
RToe 113.3769 0.3143128 33.44584 356.7042 277.8339 165.6542
SpineRoot 111.7026 4.411781 32.90739 354.5043 274.4058 5.265055
Spine2 111.7674 4.993189 32.89363 352.5542 271.3487 265.1247
HeadRoot 111.9845 6.608543 33.14445 287.8383 295.9649 65.80003
Head 111.8461 7.085525 33.1843 7.045886 2.753481 286.3521
LShoulder 111.7098 6.626013 33.07568 282.988 279.0244 76.58795
LArmRoot 109.8882 6.216508 32.92506 333.9982 83.34205 280.5953
LForearm 109.1136 7.765302 33.11092 336.4462 83.69219 274.0156
LHand 108.5054 9.142275 33.14977 0.7552011 353.9639 295.8312
LHandEff 108.06 10.06472 33.11491 0.7552011 353.9639 295.8312
RShoulder 112.2509 6.555279 33.06294 296.4037 89.13542 102.3418
RArmRoot 113.8957 5.741549 32.68734 30.81756 95.5811 17.75355
RForearm 114.7899 7.181218 33.08887 323.1592 277.5262 258.9756
RHand 115.7062 8.36409 33.25827 7.890625 1.682495 237.5251
RHandEff 116.2597 9.220571 33.36076 7.890625 1.682495 237.5251
Spine1 111.7026 4.411781 32.90739 353.6178 271.1574 271.2193
LLegRoot 109.7685 4.020476 33.27031 7.01955 4.278167 358.4768
LShin 109.7136 2.154519 33.06947 4.618863 4.081072 91.8939
LRootFoot 109.747 0.9306256 32.96795 319.3033 239.7772 317.1591
LToe 109.4484 0.3739759 32.98579 333.2539 253.0751 108.2931
RLegRoot 113.5594 3.654663 32.97823 2.969891 4.134912 355.194
RShin 113.3872 1.785976 32.91876 358.3857 184.2014 92.68328
RRootFoot 113.3274 0.5592585 32.88849 0.3177769 115.3075 3.043489
RToe 113.3918 0.3109079 33.46603 357.437 277.459 165.6545
SpineRoot 111.7026 4.411781 32.90739 354.4125 274.0467 5.017277
Spine2 111.7684 4.993106 32.89486 352.3957 271.877 264.9556
HeadRoot 111.9923 6.607115 33.14833 288.4618 295.6432 66.63464
Head 111.8487 7.082411 33.18965 7.047464 3.308277 287.0326
LShoulder 111.7171 6.625561 33.08204 282.3159 280.7436 75.34646
LArmRoot 109.8893 6.239009 32.94654 333.6194 83.80614 280.7607
