Kaho
SpineRoot 0 3.695743 0.02287035 7.018528 302.614 325.0437
Spine2 0.001538284 4.04296 0.0749153 2.278862 304.872 294.7166
HeadRoot -0.3516011 5.338521 -0.3416526 284.7295 114.249 275.5968
Head -0.2828583 5.659298 -0.3903806 1.189103 29.72358 255.3391
LShoulder -0.5119796 5.29297 -0.2883222 311.3835 260.2701 134.0675
LArmRoot -0.9367427 4.98203 0.1007615 349.2313 297.2441 127.7277
LForearm -0.7908601 4.168677 0.6773968 356.269 303.6622 134.6069
LHand -0.2620027 3.097305 1.597563 306.2549 40.1678 70.89355
LHandEff -0.1321292 2.796628 2.024473 306.2549 40.1678 70.89355
RShoulder -0.2434942 5.305992 -0.4754251 314.7693 161.7324 46.44666
RArmRoot 0.2903826 4.97189 -0.6538759 20.76548 324.8123 192.6027
RForearm 0.6250641 4.037057 -0.8253601 3.865236 140.1969 84.93462
RHand 0.6625337 2.538306 -0.6623303 44.46605 53.01232 102.6479
RHandEff 0.4396565 2.163618 -0.9777043 44.46605 53.01232 102.6479
Spine1 0 3.695743 0.02287035 4.705135 304.9818 262.879
LLegRoot -0.2818305 3.314933 0.05385718 354.8769 37.98122 353.2278
LShin -0.3498741 1.947568 0.3249373 4.640167 36.8042 93.83674
LRootFoot -0.3415795 0.3677228 0.1585862 331.9951 222.7597 2.291902
LToe -0.5190526 0.1106078 0.4800104 337.5703 257.8962 152.0885
RLegRoot 0.2176345 3.387935 -0.2657364 355.6565 32.61831 0.1649033
RShin 0.3518378 2.002186 -0.1683093 358.0484 212.8418 99.76761
RRootFoot 0.09648927 0.4375217 -0.0669421 311.9667 174.1455 40.69524
RToe 0.3001008 0.04090391 -0.1133656 17.98367 334.7843 121.9661
SpineRoot 0 3.695743 0.02287035 7.053597 301.9329 324.7236
Spine2 0.0004635731 4.042876 0.0754945 2.276392 304.1602 295.0741
HeadRoot -0.3518515 5.335024 -0.3522201 284.5448 114.0578 275.0668
Head -0.2837641 5.65603 -0.4003687 1.038947 29.02295 255.5108
LShoulder -0.5127346 5.289182 -0.3006893 311.5654 258.8743 134.1672
