Kaho
RShin 5.192996 0.4848484 2.692909 1.257033 305.8572 189.2407 83.91639
RRootFoot 5.192996 0.4454324 1.767599 -0.03366546 351.095 124.1038 9.718197
RToe 5.192996 0.4483801 1.562652 0.3649653 354.1736 273.4309 163.0838
SpineRoot 5.228725 0 3.695743 0.02287035 1.902747 268.9498 345.5093
Spine2 5.228725 -0.005263312 4.045349 0.05479157 0.6024475 272.4461 273.8732
HeadRoot 5.228725 -0.02201959 5.45045 0.008719984 279.3597 190.4542 172.0197
Head 5.228725 -0.03245831 5.77468 -0.06030676 350.4922 2.36204 271.3118
LShoulder 5.228725 -0.1879165 5.429274 -0.0429529 297.6421 256.8971 109.8534
LArmRoot 5.228725 -0.7695292 5.143627 0.04992276 290.1536 166.5609 227.6511
LForearm 5.228725 -1.619092 5.370381 0.5420173 302.2035 153.6129 255.8552
LHand 5.228725 -2.499153 6.1497 1.486682 348.6965 44.74295 330.6739
LHandEff 5.228725 -2.868717 6.408126 1.780219 348.6965 44.74295 330.6739
RShoulder 5.228725 0.1392751 5.432718 -0.05692977 295.0128 110.7899 69.67468
RArmRoot 5.228725 0.7400266 5.173176 -0.04180329 66.45554 22.66574 331.1178
RForearm 5.228725 1.532284 5.49792 0.4894233 13.63922 153.9607 181.1593
RHand 5.228725 0.180741 5.527571 -0.1789249 76.44044 316.2816 40.03333
RHandEff 5.228725 0.1155112 5.446424 -0.7068329 76.44044 316.2816 40.03333
Spine1 5.228725 0 3.695743 0.02287035 1.079744 272.3886 264.8241
LLegRoot 5.228725 -0.2863184 3.31703 0.02105752 309.039 24.65909 318.0358
LShin 5.228725 -0.8349549 2.726212 1.160238 57.91079 340.127 84.64937
LRootFoot 5.228725 -0.5187451 1.885962 -0.1503517 312.2001 244.7921 284.6685
LToe 5.228725 -0.5963292 1.467435 -0.2908316 344.0088 250.5461 86.68468
RLegRoot 5.228725 0.310692 3.336867 0.03200197 302.1899 342.5283 20.25163
RShin 5.228725 0.4863232 2.692234 1.25732 305.9114 189.1086 84.07365
RRootFoot 5.228725 0.4456827 1.765447 -0.03228081 351.1436 124.1164 9.750427
RToe 5.228725 0.4485454 1.560503 0.366352 354.1156 273.4488 163.0812
SpineRoot 5.276332 0 3.695743 0.02287035 1.979728 268.9547 345.6609
Spine2 5.276332 -0.005818376 4.04536 0.0545763 0.7310379 272.5363 273.7348
HeadRoot 5.276332 -0.02564884 5.450532 0.01206072 279.3074 190.1655 172.3666
Head 5.276332 -0.03578585 5.774824 -0.05672217 350.5363 2.426259 271.248
LShoulder 5.276332 -0.191583 5.429132 -0.03939949 297.4946 257.1468 109.5757
LArmRoot 5.276332 -0.7737619 5.144396 0.05272341 291.4032 160.5318 233.2426
LForearm 5.276332 -1.620407 5.409917 0.5302398 303.8703 150.186 258.9796
LHand 5.276332 -2.481597 6.23488 1.453291 348.9579 43.00724 327.4648
LHandEff 5.276332 -2.851129 6.518909 1.722178 348.9579 43.00724 327.4648
RShoulder 5.276332 0.1355776 5.433311 -0.05389155 294.663 110.8466 69.80605
RArmRoot 5.276332 0.7377551 5.176952 -0.04140346 60.60538 36.50991 343.19
RForearm 5.276332 1.505416 5.625796 0.4324832 319.8932 215.5434 255.0695
RHand 5.276332 1.734954 6.740285 1.422161 5.917604 301.0671 224.2982
RHandEff 5.276332 1.9005 7.114071 1.772024 5.917604 301.0671 224.2982
Spine1 5.276332 0 3.695743 0.02287035 1.177498 272.4822 264.8651
LLegRoot 5.276332 -0.2858277 3.316657 0.02206781 309.057 24.46512 318.219
LShin 5.276332 -0.8344848 2.723625 1.160089 57.93463 340.0504 84.60062
LRootFoot 5.276332 -0.5177062 1.884 -0.1507638 306.9419 257.8473 265.6965
LToe 5.276332 -0.5973076 1.509852 -0.3844204 338.8848 252.9862 73.92589
RLegRoot 5.276332 0.3111564 3.337296 0.03296011 302.2992 342.4759 20.36165
RShin 5.276332 0.488657 2.691083 1.257176 305.9841 188.9533 84.27856
RRootFoot 5.276332 0.44604 1.762333 -0.03094673 351.2156 124.1398 9.799097
RToe 5.276332 0.4488073 1.557388 0.3676866 354.0291 273.4801 163.0765
SpineRoot 5.322722 0 3.695743 0.02287035 2.130815 268.9146 345.8396
Spine2 5.322722 -0.006620869 4.045354 0.05447293 0.8948048 272.6463 273.5462
