human_base
SpineRoot 4.270249E-16 4.513836 -0.1462409 350.8821 291.486 314.2869
Spine2 0.150931 5.248973 -0.1363723 346.7031 292.5287 304.7237
HeadRoot 0.1102741 6.458265 -0.9803082 345.2925 291.6716 20.08284
Head 0.1387156 6.812606 -1.160596 345.2925 291.6717 290.9505
LShoulder 0.1150745 6.462974 -0.9841384 308.2616 240.2234 153.7819
LArmRoot -0.3976098 6.275108 -0.5677526 342.3303 286.6727 137.9597
LForearm -0.4023783 5.366479 0.3337863 359.5459 305.594 134.4599
LHand 0.081301 4.510017 1.021193 327.5042 36.28989 91.87223
LHandEff 0.2877847 4.00423 1.269271 327.5042 36.28989 91.87223
RShoulder 0.1066959 6.465118 -0.9806628 33.37102 328.1711 131.2491
RArmRoot 0.6411209 6.033957 -0.9831787 27.07099 306.4778 211.8573
RForearm 1.098389 6.526721 0.1060828 12.95991 307.6797 308.248
RHand 0.4770322 7.445122 -0.3526743 357.2812 32.12196 265.6286
RHandEff 0.500675 8.042703 -0.4010256 357.2812 32.12196 265.6286
Spine1 4.270249E-16 4.513836 -0.1462409 349.5955 293.0786 264.7832
LLegRoot -0.4056361 4.49109 -0.0654442 350.5103 295.0339 340.7934
LShin -1.160893 2.52903 -0.367575 341.3486 298.1905 75.798
LRootFoot -1.868756 0.858281 -0.494497 349.0298 300.0496 356.1223
LToe -1.677948 0.5466902 -0.04404881 349.0298 300.0497 169.0065
RLegRoot 0.326228 4.364858 -0.3535256 349.9793 288.1086 347.014
RShin 0.0780412 2.278065 -0.6618676 354.4128 287.3577 81.87185
RRootFoot -0.166015 0.4859418 -0.8550307 354.6988 296.7813 356.416
RToe 0.02747922 0.1723897 -0.4070962 354.6988 296.7813 169.3002
SpineRoot 4.270249E-16 4.513836 -0.1462409 350.6938 289.9214 315.3772
Spine2 0.1421569 5.250785 -0.1474605 347.219 291.6549 305.4065
HeadRoot 0.0968331 6.453275 -1.000825 345.881 290.8176 21.00417
Head 0.1218799 6.806057 -1.184638 345.881 290.8176 291.8718
LShoulder 0.1016214 6.458016 -1.00463 308.3554 239.939 156.096
