human_base
SpineRoot 5.098228 3.202687E-16 3.385377 -0.1096806 1.005128 277.7656 0.4032385
Spine2 5.098228 -0.007868161 3.943672 -0.1811245 358.432 280.8272 274.2511
HeadRoot 5.098228 0.01408099 5.048898 -0.2274173 353.9471 281.0802 343.0614
Head 5.098228 0.05784167 5.337566 -0.163233 353.9471 281.0802 253.9291
LShoulder 5.098228 0.01785146 5.053286 -0.2269562 303.7072 272.5382 96.40005
LArmRoot 5.098228 -0.4049427 4.769267 -0.1507606 345.3847 277.2949 105.7011
LForearm 5.098228 -0.6020836 3.850173 0.04417819 355.5229 281.0777 112.9446
LHand 5.098228 -0.5981606 3.023907 0.4009283 333.515 14.3349 70.99038
LHandEff 5.098228 -0.6931965 2.6431 0.6210512 333.515 14.3349 70.99038
RShoulder 5.098228 0.0109879 5.053478 -0.2256435 55.90993 289.6135 95.56442
RArmRoot 5.098228 0.4276118 4.766181 -0.3211041 8.409041 287.1674 100.4689
RForearm 5.098228 0.5675751 3.817368 -0.2790866 359.8458 284.6415 112.4194
RHand 5.098228 0.6521706 2.985395 0.05357784 16.58692 194.8089 83.67046
RHandEff 5.098228 0.7327678 2.55675 0.1643346 16.58692 194.8089 83.67046
Spine1 5.098228 3.202687E-16 3.385377 -0.1096806 359.4124 280.854 277.3126
LLegRoot 5.098228 -0.2932636 3.295267 -0.06075455 356.1409 277.3605 358.471
LShin 5.098228 -0.5613869 1.726672 0.0118329 349.6916 277.4605 92.81023
LRootFoot 5.098228 -0.7944655 0.386093 0.1098104 353.84 274.7758 4.786665
LToe 5.098228 -0.7808118 0.2066568 0.5058423 353.84 274.7758 177.6709
RLegRoot 5.098228 0.2986063 3.305747 -0.1414683 355.2509 278.0491 356.4778
RShin 5.098228 0.332973 1.713277 -0.1639616 0.8087007 277.9998 91.36706
RRootFoot 5.098228 0.3565642 0.3495877 -0.1344108 356.8471 281.0033 2.918548
RToe 5.098228 0.4205089 0.1565954 0.250154 356.847 281.0033 175.8028
SpineRoot 5.142071 3.202687E-16 3.385377 -0.1096806 1.017905 277.6978 0.3796469
