ChoukaiSan
SpineRoot 5.058405 0 2.647069 -0.09142083 11.26862 245.4824 292.7086
Spine2 5.058405 -0.1367182 2.933377 0.05893396 27.87082 258.9277 280.7913
HeadRoot 5.058405 -0.5652087 3.801997 -0.1432564 306.6966 270.8454 81.3477
Head 5.058405 -0.7418379 4.042797 -0.1567401 5.016836 353.7848 306.3737
LShoulder 5.058405 -0.6891139 3.705454 -0.2088033 313.8786 240.5534 107.6749
LArmRoot 5.058405 -1.529026 2.96322 -0.2911169 15.81667 274.7782 140.1803
LForearm 5.058405 -1.280117 2.297868 0.4752634 359.1664 305.2594 275.5431
LHand 5.058405 -1.319814 3.197038 0.3964496 8.546947 215.4817 271.962
LHandEff 5.058405 -1.355688 3.804815 0.3098489 8.546947 215.4817 271.962
RShoulder 5.058405 -0.4049848 3.858557 -0.1532017 293.1829 220.7299 314.7326
RArmRoot 5.058405 0.6733208 4.172867 -0.1131435 31.10362 271.5349 207.6581
RForearm 5.058405 1.173656 3.371683 0.3337982 0.6673793 73.73617 60.82318
RHand 5.058405 1.04148 2.582881 0.7540565 321.8187 347.841 61.94119
RHandEff 5.058405 0.6880479 2.1563 1.021065 321.8187 347.841 61.94119
Spine1 5.058405 0 2.647069 -0.09142083 21.36332 261.1612 241.1193
LLegRoot 5.058405 -0.8612208 2.201675 -0.8049877 11.92884 342.1116 3.655782
LShin 5.058405 -0.7202969 1.099092 -0.988035 355.899 343.1141 83.06057
LRootFoot 5.058405 -0.8207175 0.3692344 -0.9638306 357.0707 243.7718 0.04864489
LToe 5.058405 -0.8734772 0.1749039 -0.6425409 358.6648 261.4716 157.9792
RLegRoot 5.058405 1.183735 2.649513 0.1277131 7.852599 337.3192 11.58365
RShin 5.058405 1.439357 1.553123 0.0871891 351.8708 159.0703 121.0001
RRootFoot 5.058405 1.116671 0.9276287 -0.1318828 6.981713 153.8899 351.1198
RToe 5.058405 1.380898 0.8635964 0.1324253 354.7715 315.8895 179.0561
SpineRoot 5.111799 0 2.647069 -0.09142083 12.41089 246.6835 293.0103
Spine2 5.111799 -0.1378063 2.933355 0.05798061 27.1711 259.0871 281.3052
HeadRoot 5.111799 -0.5542554 3.806558 -0.149558 306.6177 271.3282 81.17084
Head 5.111799 -0.7306203 4.04763 -0.1615541 5.111799 354.1176 306.2819
LShoulder 5.111799 -0.6793666 3.711338 -0.2147492 311.2922 238.3506 108.2577
LArmRoot 5.111799 -1.546787 3.007017 -0.3357987 17.72244 275.2657 140.4359
LForearm 5.111799 -1.270216 2.351499 0.4295726 358.9553 309.9921 274.4449
LHand 5.111799 -1.302634 3.252123 0.3653725 7.806376 220.293 273.1178
LHandEff 5.111799 -1.331059 3.860486 0.2801256 7.806376 220.293 273.1178
RShoulder 5.111799 -0.3932691 3.860894 -0.1595884 291.1214 215.0215 319.2502
RArmRoot 5.111799 0.6967285 4.125254 -0.08777297 31.00008 270.8323 207.2765
RForearm 5.111799 1.191574 3.32058 0.3590105 0.7905563 73.64597 62.1558
RHand 5.111799 1.062176 2.52177 0.7608256 319.0768 346.3643 78.05597
RHandEff 5.111799 0.8455824 2.06717 1.113822 319.0768 346.3643 78.05597
Spine1 5.111799 0 2.647069 -0.09142083 21.49244 260.9964 241.2031
LLegRoot 5.111799 -0.8678088 2.178742 -0.7819518 11.77198 343.9849 3.994331
LShin 5.111799 -0.727423 1.076038 -0.9646801 356.0435 344.9655 82.92884
LRootFoot 5.111799 -0.8281526 0.3462569 -0.9394718 356.239 244.1172 0.2338325
LToe 5.111799 -0.8817281 0.1515786 -0.618528 357.8163 261.8303 157.9023
RLegRoot 5.111799 1.187641 2.671298 0.1039651 8.24892 339.1414 12.14398
RShin 5.111799 1.454517 1.578059 0.05238798 352.0679 161.1343 123.9206
RRootFoot 5.111799 1.092559 0.9722307 -0.1605002 14.21933 155.8859 349.6602
RToe 5.111799 1.365551 0.9327147 0.09967019 348.3384 317.6169 182.7109
SpineRoot 5.186357 0 2.647069 -0.09142083 12.5415 245.555 292.8815
Spine2 5.186357 -0.1383754 2.933337 0.05748794 26.95294 259.2066 281.8175
HeadRoot 5.186357 -0.5498304 3.80721 -0.157075 306.157 271.9834 80.66139
Head 5.186357 -0.7242618 4.049774 -0.1671019 5.351844 354.3173 305.7838
LShoulder 5.186357 -0.6753112 3.712184 -0.2218388 310.7236 236.9419 107.1811
LArmRoot 5.186357 -1.538429 3.011664 -0.387484 19.72139 273.9994 140.2302
LForearm 5.186357 -1.255377 2.361044 0.3796953 359.5598 312.0073 273.5896
