human_base
SpineRoot 111.7026 5.642295 42.96883 1.90219 269.7237 357.2457
Spine2 111.7111 6.575032 42.86836 355.2335 279.9442 281.0753
HeadRoot 111.8105 8.390224 42.55916 356.0208 280.1819 16.20174
Head 111.8135 8.859258 42.39114 356.0208 280.1819 287.0694
LShoulder 111.817 8.397367 42.55907 324.8384 275.0591 105.8242
LArmRoot 111.364 7.722238 42.83413 318.4337 257.2601 204.4185
LForearm 111.3868 8.087578 44.3917 309.1608 299.938 186.3222
LHand 112.2418 8.191888 45.61972 293.8174 60.49199 297.9436
LHandEff 111.5412 8.459444 45.62704 293.8174 60.49199 297.9436
RShoulder 111.8056 8.398335 42.56107 55.63622 302.3151 103.7898
RArmRoot 112.4965 7.927813 42.36612 70.92133 4.050501 210.6659
RForearm 113.9879 8.119829 42.91283 52.91843 27.28001 260.3617
RHand 114.7518 9.011489 43.84628 12.51799 132.8427 309.6886
RHandEff 115.1693 9.574916 44.1124 12.51799 132.8427 309.6886
Spine1 111.7026 5.642295 42.96883 358.3992 280.1828 275.9585
LLegRoot 111.2097 5.483778 42.97338 1.057866 269.1765 351.7482
LShin 110.9802 2.85056 42.7234 1.704488 268.8481 80.95136
LRootFoot 111.0541 0.6061606 42.36722 13.60043 279.7106 6.283349
LToe 111.2324 0.3306445 43.0137 13.60043 279.7106 179.1676
RLegRoot 112.2049 5.516829 42.97818 353.4692 269.5868 357.8983
RShin 112.1841 2.862158 43.01439 359.8151 269.6408 80.61618
RRootFoot 112.1791 0.6189071 42.64363 350.7624 268.0077 310.4823
RToe 112.0602 -0.08310303 42.78019 350.7624 268.0077 123.3665
SpineRoot 111.7026 5.642295 42.96883 2.130219 269.3099 356.9489
Spine2 111.7073 6.575036 42.86815 355.0023 278.0662 281.7487
HeadRoot 111.8208 8.386113 42.54021 348.3153 275.898 17.60583
Head 111.8965 8.842443 42.35512 348.3153 275.898 288.4734
LShoulder 111.8273 8.393241 42.54024 323.8736 272.7696 107.0276
LArmRoot 111.3561 7.730333 42.81466 311.3244 242.8337 199.8067
LForearm 110.9288 7.966105 44.33839 302.1288 285.8685 196.0135
LHand 111.6601 8.186172 45.62942 322.228 110.888 289.6799
LHandEff 111.346 8.744385 46.01962 322.228 110.888 289.6799
RShoulder 111.8158 8.394256 42.54187 53.46669 299.9612 104.2766
RArmRoot 112.5006 7.899073 42.39143 67.98639 343.0671 195.4802
RForearm 113.9307 7.973009 43.10506 55.66929 11.55436 242.7233
RHand 114.8247 8.724895 44.04602 19.05779 131.1801 320.1501
RHandEff 115.322 9.179138 44.37607 19.05779 131.1801 320.1501
Spine1 111.7026 5.642295 42.96883 358.816 278.3794 276.0528
LLegRoot 111.2104 5.481783 42.9691 0.6586484 268.8901 352.4242
LShin 110.9631 2.847527 42.74863 1.450342 268.5187 81.16775
LRootFoot 111.029 0.6015196 42.40111 12.91382 278.6791 6.411194
LToe 111.1921 0.3266763 43.05187 12.91381 278.6791 179.2954
RLegRoot 112.2053 5.518795 42.98108 353.3924 269.1914 357.7345
RShin 112.1808 2.864062 43.00954 359.53 269.2527 80.79884
RRootFoot 112.1671 0.6197039 42.64576 350.8169 267.8138 310.5432
RToe 112.0483 -0.08226596 42.7827 350.8169 267.8138 123.4275
SpineRoot 111.7026 5.642295 42.96883 0.5329385 271.3351 357.143
Spine2 111.7023 6.575119 42.86882 354.7608 276.1895 282.2361
HeadRoot 111.8322 8.382832 42.52862 346.9181 273.6928 16.44772
Head 111.9275 8.840102 42.35525 346.9181 273.6929 287.3153
LShoulder 111.8387 8.389939 42.52879 318.5125 269.0776 109.0848
LArmRoot 111.2969 7.782295 42.80073 303.7202 235.1547 191.6817
LForearm 110.518 7.85039 44.19666 298.3332 275.2145 195.4487
LHand 110.9996 8.040022 45.60452 341.0753 142.4081 335.6289
LHandEff 111.4797 8.332778 46.1008 341.0753 142.4081 335.6289
RShoulder 111.8272 8.391004 42.53004 54.1964 298.5999 106.4276
RArmRoot 112.5296 7.909364 42.42352 66.49722 333.9321 190.4408
RForearm 113.9016 7.934562 43.24635 59.42638 356.9026 230.7546
RHand 114.7952 8.525438 44.29633 21.94599 129.0342 328.2637
RHandEff 115.3114 8.891359 44.69894 21.94599 129.0342 328.2637
Spine1 111.7026 5.642295 42.96883 359.3137 276.584 276.0809
LLegRoot 111.2064 5.495588 42.98708 0.4021192 270.8912 352.9368
LShin 110.9402 2.86066 42.7991 1.556735 270.4562 81.43577
LRootFoot 110.9986 0.6131541 42.46003 11.61213 278.1334 6.569666
LToe 111.149 0.3387608 43.11403 11.61212 278.1334 179.4539
RLegRoot 112.2018 5.50485 42.96387 353.3494 271.2596 357.5666
