Kaho
SpineRoot 0 4.518327 -0.1523681 346.2444 263.2551 345.0824
Spine2 0.1295013 5.086233 -0.09640377 347.2336 264.6868 276.576
HeadRoot 0.4987166 6.692967 -0.1350402 285.9931 55.8924 297.7532
Head 0.615615 7.174683 -0.08486039 7.201712 352.7675 255.773
LShoulder 0.2330004 6.721459 -0.2301938 293.8297 247.6746 109.3359
LArmRoot -1.498224 6.007355 -0.2706459 284.0622 118.1276 244.7532
LForearm -3.196802 6.391806 -0.2523477 300.4841 110.6308 274.5042
LHand -4.365834 7.153347 0.3141387 357.3443 16.00941 328.1756
LHandEff -5.209823 7.693235 0.530246 357.3443 16.00941 328.1756
RShoulder 0.763066 6.600839 -0.1808979 313.6747 96.31491 80.69277
RArmRoot 2.125241 5.324333 -0.02685007 61.61398 282.361 205.4038
RForearm 3.647963 4.573228 0.3610436 297.5972 103.1109 66.54426
RHand 4.976234 3.933296 0.6670977 350.9156 355.2015 155.677
RHandEff 5.901349 3.51644 0.8116452 350.9156 355.2015 155.677
Spine1 0 4.518327 -0.1523681 346.7164 264.7535 265.6987
LLegRoot -1.987578 4.375066 -0.3862853 5.402394 351.4721 351.9387
LShin -2.215763 2.520746 -0.5722436 3.929565 351.3934 86.14117
LRootFoot -2.284941 1.297861 -0.6676726 359.2356 246.7811 5.702352
LToe -2.344109 1.032848 -0.09702223 359.0046 264.5403 164.0219
RLegRoot 1.696854 3.466825 0.04946678 1.534494 351.0798 4.297496
RShin 1.829728 1.594 0.04504211 355.7373 171.4843 90.90683
RRootFoot 1.824019 0.3689998 -0.04813691 358.183 102.7983 3.192022
RToe 1.77085 0.1123705 0.5269185 359.4237 264.9736 164.859
SpineRoot 0 4.518327 -0.1523681 346.4812 264.0917 344.436
Spine2 0.1280988 5.086756 -0.09852843 348.5353 264.951 277.4774
HeadRoot 0.4626941 6.700026 -0.1679203 287.0115 62.42329 291.2415
Head 0.5950812 7.178625 -0.1272985 5.916245 352.8617 254.0887
LShoulder 0.1957038 6.721222 -0.2613977 295.2788 246.9513 110.4324
LArmRoot -1.520832 5.971664 -0.2810943 279.3358 197.3962 167.304
LForearm -3.258429 5.909006 -0.1804353 294.2566 130.01 259.632
LHand -4.467022 6.51753 0.4802365 350.4985 18.60229 333.7294
LHandEff -5.36197 6.964956 0.702446 350.4985 18.60229 333.7294
RShoulder 0.7285838 6.612726 -0.2143177 313.3949 97.83122 79.54282
RArmRoot 2.100922 5.3472 -0.05988624 40.22557 276.2202 197.4487
RForearm 3.233128 4.07288 0.2972151 303.048 141.2863 344.3659
RHand 4.151875 4.294183 1.469569 332.6532 288.4996 207.4345
RHandEff 4.646231 4.713634 2.263404 332.6532 288.4996 207.4345
Spine1 0 4.518327 -0.1523681 346.9079 265.1453 265.805
LLegRoot -1.989455 4.366823 -0.3640772 5.602504 352.2758 351.9312
LShin -2.219597 2.513071 -0.5532625 4.177493 352.1812 86.3304
LRootFoot -2.285347 1.290295 -0.6524413 359.2178 247.1293 5.731626
LToe -2.34117 1.02551 -0.08134867 358.9788 264.8885 164.0443
RLegRoot 1.704648 3.473921 0.01821491 1.493462 351.8477 4.342218
RShin 1.838707 1.601181 0.01354747 355.5982 172.2618 90.83691
RRootFoot 1.833621 0.3763829 -0.08229289 358.3371 103.0449 3.326828
RToe 1.782158 0.1189464 0.4925569 359.2358 265.2252 164.7779
SpineRoot 0 4.518327 -0.1523681 347.0847 264.9005 343.9804
Spine2 0.1253995 5.087597 -0.1011158 350.2594 265.3569 278.2856
HeadRoot 0.4125839 6.708448 -0.1999715 288.8995 71.04628 282.5814
Head 0.5683007 7.181033 -0.1744834 3.879888 353.0249 251.5271
LShoulder 0.1442222 6.720421 -0.2911292 296.4952 246.2898 111.4924
LArmRoot -1.559929 5.94287 -0.2900102 285.9494 230.0565 135.6702
LForearm -3.261442 5.606023 -0.1328809 286.4181 165.3791 225.9423
LHand -4.536671 5.911883 0.6072055 345.5641 17.85583 344.6537
