ToriTanpo
SpineRoot 5.076537 0 3.278455 -0.1104691 0.7722748 299.9907 1.604041
Spine2 5.076537 0.003075611 3.870269 -0.1240294 358.3299 299.1026 270.7987
HeadRoot 5.076537 0.03434198 5.273272 -0.1519677 290.5247 54.60062 333.416
Head 5.076537 0.1305732 5.616295 -0.09251536 18.02814 26.52667 260.5026
LShoulder 5.076537 -0.1299538 5.26011 -0.1095027 308.3464 304.5003 88.10834
LArmRoot 5.076537 -0.2782723 5.121745 -0.01650298 336.693 292.4414 98.13155
LForearm 5.076537 -0.8392851 3.508549 0.3871413 347.3293 297.6331 131.128
LHand 5.076537 -0.6271219 2.526024 1.268663 317.8475 38.28372 88.58134
LHandEff 5.076537 -0.2010714 1.729105 1.85142 317.8475 38.28372 88.58134
RShoulder 5.076537 0.156085 5.250566 -0.2687266 305.9862 114.9075 90.88177
RArmRoot 5.076537 0.3183827 5.119465 -0.3478744 7.983507 308.5439 187.3537
RForearm 5.076537 0.5771416 3.383953 -0.3811908 351.8943 128.8847 48.35392
RHand 5.076537 1.244519 2.394876 0.2219532 307.04 26.27963 111.9707
RHandEff 5.076537 1.957648 1.794203 0.7575333 307.04 26.27963 111.9707
Spine1 5.076537 0 3.278455 -0.1104691 359.1019 299.0752 271.0025
LLegRoot 5.076537 -0.3892893 2.916659 0.1618305 5.536171 29.54507 351.5299
LShin 5.076537 -0.6454093 1.500687 0.139329 356.1014 209.805 99.07587
LRootFoot 5.076537 -0.8845963 0.116552 0.1676349 8.337576 123.6017 14.73178
LToe 5.076537 -0.8229307 0.02930939 0.3025616 350.7081 300.0834 165.9751
RLegRoot 5.076537 0.4388254 2.929547 -0.3161027 3.437237 29.88474 356.7907
RShin 5.076537 0.3215613 1.495819 -0.3579553 1.833449 30.00856 85.46267
RRootFoot 5.076537 0.202907 0.09600386 -0.3411721 355.0618 297.0817 350.4125
RToe 5.076537 0.2741956 0.01256861 -0.2085991 355.7483 300.63 167.7962
SpineRoot 5.133305 0 3.278455 -0.1104691 0.7836344 299.9996 1.592728
Spine2 5.133305 0.002871332 3.870272 -0.1239341 358.3504 299.0873 270.7803
