ToriTanpo
SpineRoot 5.08692 0 3.278455 -0.1104691 348.0906 238.6898 302.6383
Spine2 5.08692 -0.04068486 3.81424 0.1379581 353.2815 238.3905 287.6331
HeadRoot 5.08692 0.3105727 5.145817 -0.1335137 277.1215 192.749 138.9744
Head 5.08692 0.3084312 5.502337 -0.1913827 354.386 331.4831 274.6902
LShoulder 5.08692 0.1878753 5.135608 -0.2510327 285.7523 172.1108 149.0995
LArmRoot 5.08692 0.01335664 5.104498 -0.3865598 296.8585 53.66715 64.54125
LForearm 5.08692 0.620923 4.388711 1.0962 324.0652 36.27496 66.73789
LHand 5.08692 0.6217306 3.394198 1.989727 20.66698 110.3482 57.88309
LHandEff 5.08692 0.5191461 2.542089 2.637486 20.66698 110.3482 57.88309
RShoulder 5.08692 0.464879 5.097293 -0.08055579 301.5736 96.1882 34.78787
RArmRoot 5.08692 0.5924665 5.030633 0.08994399 13.81537 237.6394 223.1254
RForearm 5.08692 0.2402717 3.724034 1.207451 349.4978 54.40782 47.37579
RHand 5.08692 -0.140852 2.756767 2.04804 331.759 317.9744 95.76192
RHandEff 5.08692 -0.3995611 1.814277 2.496359 331.759 317.9744 95.76192
Spine1 5.08692 0 3.278455 -0.1104691 350.0267 238.7204 246.7751
LLegRoot 5.08692 -0.2910289 3.16326 -0.6190175 340.4969 303.6499 32.11852
LShin 5.08692 -0.1989041 2.011608 0.2390565 18.70635 124.1771 57.58712
LRootFoot 5.08692 -0.09056371 0.8882052 1.075759 335.2799 27.38103 27.42454
LToe 5.08692 -0.181306 0.7751209 1.168478 22.97141 203.9336 151.3488
RLegRoot 5.08692 0.5083495 2.96593 -0.1327923 338.6541 325.4641 358.9196
RShin 5.08692 0.1934048 1.622671 0.276531 56.44496 283.8839 30.74034
RRootFoot 5.08692 0.4846254 1.225734 -1.039323 337.6674 249.9101 17.63588
RToe 5.08692 0.4328501 1.217352 -0.8754084 336.6948 253.6739 193.8438
SpineRoot 5.132288 0 3.278455 -0.1104691 348.5657 239.6671 302.4979
Spine2 5.132288 -0.04184876 3.81468 0.1368133 353.2256 238.0914 287.8954
HeadRoot 5.132288 0.3149739 5.144201 -0.1374609 277.9943 190.639 140.9839
Head 5.132288 0.3134664 5.499762 -0.200977 353.5494 331.327 275.0549
LShoulder 5.132288 0.1927952 5.133992 -0.2555191 285.8371 171.181 149.2783
LArmRoot 5.132288 0.02005137 5.102882 -0.3933013 51.54112 169.2738 64.86475
LForearm 5.132288 0.6033706 4.155908 0.9642862 47.84599 170.3876 86.02579
LHand 5.132288 0.5296245 3.260801 1.954636 358.993 260.481 127.222
LHandEff 5.132288 0.4072184 2.404697 2.593627 358.993 260.481 127.222
RShoulder 5.132288 0.4688733 5.095359 -0.08361841 303.7218 91.97334 36.8552
RArmRoot 5.132288 0.5862753 5.021057 0.0909901 13.57861 237.028 223.4777
RForearm 5.132288 0.2117936 3.720021 1.207741 349.494 54.00911 47.23974
RHand 5.132288 -0.1768072 2.754882 2.047352 333.271 317.5893 93.63578
RHandEff 5.132288 -0.4519824 1.796444 2.449695 333.271 317.5893 93.63578
Spine1 5.132288 0 3.278455 -0.1104691 350.0652 238.4018 246.8692
LLegRoot 5.132288 -0.2984321 3.159692 -0.6138804 339.5838 305.3731 31.01777
LShin 5.132288 -0.2132217 2.000973 0.2353479 19.98768 125.6463 58.876
