ChoukaiSan
SpineRoot 0 4.518327 -0.1523681 350.2677 237.9161 348.2497
Spine2 0.05013096 5.100033 -0.1133236 356.6452 243.2433 282.5303
HeadRoot 0.2448333 6.728273 -0.2874837 276.4761 230.816 104.3259
Head 0.2127748 7.221834 -0.3475183 358.2268 335.035 276.2769
LShoulder 0.0293579 6.704588 -0.4704603 305.2722 219.3266 111.1872
LArmRoot -1.397978 5.696027 -1.14443 305.7263 220.1889 152.9828
LForearm -3.005289 5.21561 -0.676401 306.1092 208.6112 211.9361
LHand -3.818984 5.68503 0.5004729 326.9293 56.64487 335.8921
LHandEff -4.524183 6.035851 1.156308 326.9293 56.64487 335.8921
RShoulder 0.5159233 6.672646 -0.2251393 318.9579 81.59723 78.11081
RArmRoot 1.650165 5.290166 0.3325017 24.78545 259.0692 190.7964
RForearm 2.31063 3.732484 0.7456772 356.5243 73.49068 73.09624
RHand 2.269955 2.294377 1.190287 352.8284 343.1379 97.23521
RHandEff 2.356669 1.285553 1.349209 352.8284 343.1379 97.23521
Spine1 0 4.518327 -0.1523681 353.8857 243.3709 268.7825
LLegRoot -1.701456 4.235993 -1.177571 4.321573 327.3185 346.6823
LShin -1.99628 2.410107 -1.500635 41.97354 318.5804 81.34598
LRootFoot -1.597518 1.507134 -2.232051 10.78361 228.892 49.38659
LToe -1.87493 1.72473 -1.70758 358.1634 241.4502 208.9704
RLegRoot 1.488257 3.590298 0.8220842 359.4414 326.8013 3.821788
RShin 1.560716 1.71679 0.9214282 358.3128 148.4527 149.8442
RRootFoot 0.6649368 1.09989 0.3501532 73.57456 152.2297 341.4837
RToe 1.160266 1.271055 0.703319 297.0147 291.0168 225.4242
SpineRoot 0 4.518327 -0.1523681 350.2743 239.2352 348.4438
Spine2 0.04800213 5.100127 -0.112064 356.8424 243.9344 281.9713
HeadRoot 0.2286714 6.730978 -0.2766625 276.1917 234.7705 100.9245
Head 0.1960296 7.225013 -0.332316 358.6548 335.6143 276.0808
LShoulder 0.01128017 6.706995 -0.4573194 304.7061 220.3136 110.5088
LArmRoot -1.42225 5.708077 -1.132504 305.2591 221.381 156.3941
LForearm -3.007242 5.28662 -0.5464362 306.0004 211.3631 216.4104
LHand -3.665692 5.811988 0.70173 330.8057 70.88618 326.6177
LHandEff -4.205847 6.304296 1.420316 330.8057 70.88618 326.6177
RShoulder 0.5008654 6.676928 -0.217839 318.1902 81.83099 78.36409
RArmRoot 1.657867 5.30944 0.3299222 24.30096 259.333 189.8416
RForearm 2.31436 3.741627 0.709761 354.6127 75.20638 76.89535
RHand 2.360317 2.281502 1.075017 354.4852 344.6571 97.40263
RHandEff 2.46182 1.26981 1.204155 354.4852 344.6571 97.40263
Spine1 0 4.518327 -0.1523681 354.0351 244.0848 268.5045
LLegRoot -1.725625 4.235887 -1.136315 4.546263 328.5878 346.6956
LShin -2.023436 2.41036 -1.458664 41.89994 320.3666 82.73893
LRootFoot -1.623866 1.503267 -2.18452 11.4258 228.9541 48.59643
LToe -1.903032 1.714546 -1.658401 358.9597 241.6799 208.3542
RLegRoot 1.50934 3.590622 0.789417 359.1435 328.2013 3.385578
RShin 1.566938 1.716544 0.8877304 357.2783 149.1289 149.2164
RRootFoot 0.6763336 1.088485 0.3205398 71.30206 153.4155 341.4292
RToe 1.176125 1.256459 0.6689182 298.7711 294.9809 222.3401
SpineRoot 0 4.518327 -0.1523681 350.2894 240.3907 348.6985
Spine2 0.04677393 5.100172 -0.1112737 356.9879 244.4854 281.484
HeadRoot 0.2162151 6.733117 -0.2668006 275.8361 238.9132 97.19836
Head 0.1838927 7.227684 -0.3177097 359.0958 336.057 275.7906
LShoulder -0.002678529 6.709005 -0.445617 304.158 221.1546 109.9898
LArmRoot -1.443423 5.720635 -1.120968 304.7395 222.2995 157.7333
LForearm -3.013352 5.325823 -0.4785116 305.3744 215.7134 219.1896
LHand -3.508089 5.876667 0.8327074 335.3065 83.62411 321.1326
LHandEff -3.863741 6.461023 1.595952 335.3065 83.62411 321.1326
RShoulder 0.4892544 6.680323 -0.2108233 317.5751 81.83698 78.48563
RArmRoot 1.661863 5.325457 0.3351145 23.74323 259.4002 188.8266
